iter	Passed	Remaining
0	0	43
1	0	36
2	1	34
3	1	33
4	1	33
5	2	33
6	2	31
7	2	31
8	3	30
9	3	30
10	3	29
11	3	28
12	4	29
13	4	29
14	5	28
15	5	28
16	6	30
17	6	29
18	6	29
19	7	29
20	7	28
21	7	27
22	8	27
23	8	26
24	8	26
25	9	26
26	9	25
27	9	25
28	10	24
29	10	24
30	10	23
31	11	23
32	11	23
33	11	22
34	12	23
35	13	23
36	13	22
37	13	22
38	14	21
39	14	21
40	14	21
41	15	21
42	15	20
43	15	20
44	16	19
45	16	19
46	16	19
47	17	18
48	17	18
49	17	17
50	18	17
51	18	17
52	18	16
53	19	16
54	19	15
55	19	15
56	19	14
57	20	14
58	20	14
59	20	13
60	21	13
61	21	13
62	21	12
63	22	12
64	22	12
65	23	12
66	23	11
67	24	11
68	24	10
69	24	10
70	24	10
71	25	9
72	25	9
73	25	9
74	26	8
75	26	8
76	26	7
77	27	7
78	27	7
79	27	6
80	28	6
81	28	6
82	28	5
83	29	5
84	29	5
85	30	4
86	30	4
87	30	4
88	31	3
89	31	3
90	31	3
91	32	2
92	32	2
93	32	2
94	33	1
95	33	1
96	33	1
97	34	0
98	34	0
99	34	0
