iter	Passed	Remaining
0	55	55644
1	56	28135
2	57	18955
3	57	14309
4	58	11563
5	58	9746
6	59	8417
7	59	7431
8	60	6645
9	60	6021
10	61	5512
11	61	5087
12	62	4725
13	62	4406
14	62	4131
15	63	3895
16	63	3692
17	64	3506
18	64	3336
19	65	3185
20	65	3051
21	65	2928
22	66	2824
23	67	2732
24	67	2641
25	68	2555
26	68	2475
27	69	2401
28	69	2331
29	70	2265
30	70	2203
31	70	2144
32	71	2099
33	72	2046
34	72	2003
35	73	1967
36	74	1927
37	74	1889
38	75	1848
39	75	1808
40	75	1771
41	76	1745
42	76	1713
43	77	1682
44	78	1655
45	78	1629
46	79	1602
47	79	1576
48	80	1553
49	80	1528
50	80	1504
51	81	1481
52	81	1463
53	82	1442
54	82	1420
55	83	1400
56	83	1381
57	84	1365
58	84	1350
59	85	1333
60	85	1315
61	85	1297
62	86	1280
63	86	1263
64	86	1249
65	87	1235
66	87	1223
67	88	1211
68	88	1199
69	89	1186
70	90	1177
71	90	1167
72	91	1155
73	91	1144
74	92	1134
75	92	1129
76	93	1120
77	93	1109
78	94	1097
79	94	1089
80	95	1082
81	95	1073
82	96	1061
83	96	1051
84	96	1042
85	97	1033
86	97	1027
87	98	1022
88	99	1013
89	99	1005
90	99	997
91	100	989
92	100	982
93	101	974
94	101	966
95	101	959
96	102	952
97	102	945
98	103	938
99	103	933
100	104	927
101	104	921
102	105	915
103	105	910
104	107	912
105	107	906
106	107	901
107	108	895
108	108	890
109	109	884
110	110	882
111	110	878
112	111	873
113	112	870
114	112	865
115	112	859
116	113	853
117	113	849
118	114	844
119	114	840
120	114	834
121	115	829
122	115	825
123	116	821
124	116	817
125	117	812
126	117	806
127	118	805
128	118	801
129	119	799
130	120	796
131	120	792
132	120	787
133	121	782
134	121	778
135	121	774
136	122	770
137	122	767
138	123	763
139	123	760
140	124	755
141	124	751
142	124	747
143	125	743
144	125	740
145	126	737
146	126	734
147	126	730
148	127	727
149	127	724
150	128	720
151	128	718
152	129	716
153	129	713
154	130	710
155	130	708
156	131	705
157	131	702
158	132	698
159	132	695
160	132	692
161	133	689
162	133	687
163	134	684
164	134	682
165	135	680
166	135	677
167	136	674
168	136	672
169	137	670
170	137	668
171	138	665
172	138	662
173	138	659
174	139	657
175	139	654
176	140	652
177	140	649
178	141	647
179	141	645
180	142	643
181	142	640
182	142	638
183	143	635
184	144	634
185	144	632
186	144	629
187	145	627
188	145	625
189	146	623
190	146	620
191	147	619
192	147	618
193	148	616
194	148	614
195	149	612
196	149	610
197	150	607
198	150	605
199	150	603
200	151	601
201	151	599
202	152	597
203	152	595
204	153	593
205	153	592
206	154	590
207	154	588
208	155	587
209	155	585
210	156	584
211	156	581
212	156	579
213	157	578
214	158	576
215	158	575
216	158	573
217	159	572
218	160	570
219	160	568
220	160	566
221	161	564
222	161	563
223	161	561
224	162	558
225	162	557
226	163	556
227	163	554
228	164	553
229	164	551
230	165	549
231	165	548
232	165	546
233	166	544
234	166	542
235	167	541
236	167	540
237	168	538
238	168	537
239	169	535
240	169	534
241	169	532
242	170	530
243	171	531
244	172	530
245	172	528
246	172	527
247	173	525
248	173	523
249	174	522
250	174	521
251	175	520
252	175	518
253	176	516
254	176	515
255	176	514
256	177	513
257	177	511
258	178	510
259	178	508
260	179	507
261	179	505
262	179	504
263	180	502
264	180	501
265	181	500
266	181	499
267	182	498
268	182	497
269	183	495
270	183	494
271	184	492
272	184	491
273	184	489
274	185	488
275	186	490
276	187	489
277	187	487
278	188	486
279	188	485
280	188	483
281	189	481
282	189	480
283	189	478
284	190	477
285	190	475
286	190	474
287	191	473
288	191	472
289	192	470
290	192	469
291	192	467
292	193	466
293	193	465
294	194	464
295	194	462
296	195	461
297	196	461
298	196	460
299	196	459
300	197	458
301	197	457
302	198	456
303	198	454
304	199	453
305	199	452
306	200	451
307	200	450
308	200	449
309	201	447
310	201	446
311	202	445
312	202	444
313	202	442
